品牌,型号,CADR 灰尘(m3/h),AHAM认证,最小功率(W),最大功率(W),最小噪音(dB),最大噪音(dB),产地,重量(kg),价格,最大风量,风档,睡眠模式,支持遥控,支持定时,空气质量显示,滤网更新提醒
双鸟,AC-3851,359,false,"",88.0,"","",中国,8.1,2280.0,"",3,true,false,true,true,true
双鸟,AC-3854Z,"","","",24.0,"",25.0,中国,8.4,2680.0,50,"",false,true,true,false,false
双鸟,AC-4234W,"","","",23.0,"",70.0,中国,1.9,388.0,"",3,true,false,true,false,false
双鸟,AC-4235W,"","","",28.0,"",25.0,中国,2.0,"","",3,false,false,true,false,false
双鸟,AC-4238W,"","","",41.0,"",25.0,中国,4.0,"","",3,false,"",true,false,false
双鸟,AC-4316,"","",26.0,22.3,"",70.0,中国,2.1,339.0,"",2,false,false,true,false,false
双鸟,AC-D358P,"","","",24.0,"",70.0,中国,4.0,758.0,"",3,false,false,true,false,false
夏普,CF-20NZW,"","","","","","","",14.0,"","","","","","","",""
夏普,CFJ-15SW,"","","",240.0,"",40.0,"",13.0,"","","","","","","",""
夏普,FU-A420S,418,false,"",57.0,"",54.0,"",8.3,3350.0,418,3,false,false,false,true,true
夏普,FU-BD20,240,false,"",29.0,"","",中国,5.5,"",240,"",true,"",true,true,true
夏普,FU-BD30,260,false,"",26.0,"","",中国,7.0,"",260,"",true,"",true,true,true
夏普,FU-CD20,250,false,"","","","","",5.5,"","","","","","","",""
夏普,FU-CD30,270,false,"",26.0,"",62.0,中国,7.0,2310.2,400,"",true,"",true,true,false
夏普,FU-GB10,170,false,"",50.0,"","",中国,5.0,999.0,"",3,false,false,false,true,false
夏普,FU-W240SR,"","",3.3,38.0,14.0,51.0,"",6.0,1570.0,"",3,false,false,false,true,true
夏普,FU-W240SW,"","",3.3,38.0,14.0,51.0,中国,6.0,1825.0,"",3,false,false,false,true,true
夏普,FU-WD20,240,false,"",29.0,"",57.0,中国,5.5,2199.0,"",3,false,"",false,true,false
夏普,FU-WD30,260,false,"",26.0,"",57.0,中国,7.0,"","","","","",false,true,false
夏普,FU-Y180SW,175,false,20.0,35.0,23.0,45.0,中国,5.0,699.0,"","",true,"",false,false,false
