品牌,型号,CADR 灰尘(m3/h),AHAM认证,最小功率(W),最大功率(W),最小噪音(dB),最大噪音(dB),产地,重量(kg),价格,最大风量,风档,睡眠模式,支持遥控,支持定时,空气质量显示,滤网更新提醒
松下,F-JDH35C,"","","","","","","",4.5,"","","","","","","",""
松下,F-JXH35C,"","","","","","","",4.7,"","","","","","","",""
松下,F-PDF35C,199,false,4.0,19.0,18.0,44.0,中国,4.5,658.0,"",4,true,false,false,true,true
松下,F-PDJ30C,172,false,20.0,28.0,"",20.1,中国,4.1,589.0,172,"","","",true,"",true
松下,F-PDJ35C,178,false,"",19.0,"",20.7,中国,4.5,796.0,178,"",true,"",false,true,true
松下,F-PXC50C,307,false,12.0,70.0,"","","",7.5,2188.0,"","",false,false,false,true,false
松下,F-PXF35C,206,false,9.0,21.0,44.0,32.0,中国,4.7,1098.0,"","",true,false,false,true,false
松下,F-PXH55C,306,false,9.0,49.0,"","",中国,5.8,1774.6,306,4,true,false,true,true,true
松下,F-PXJ30C,151,false,22.0,30.0,"",20.1,中国,4.3,"",151,"",true,"",false,true,true
松下,F-PXJ35C,184,false,"",21.0,"",20.0,中国,4.7,1069.8,184,"",true,"",false,true,true
松下,F-VDG35C,208,false,10.0,39.0,"","",中国,7.8,1399.0,98,3,true,false,false,true,true
松下,F-VKJ05C,41,false,4.8,7.5,"",20.0,中国,1.9,839.0,35,"",true,false,false,true,false
松下,F-VXD50C,"","",16.0,70.0,"",60.0,"",7.5,2898.0,"","",false,false,false,false,false
松下,F-VXG35C,227,false,12.0,41.0,"","",中国,7.8,1699.0,"",3,true,false,false,true,true
松下,F-VXG70C,393,false,14.0,50.0,"","",中国,10.2,2999.0,"",3,true,false,false,true,true
松下,F-VXH50C,278,false,13.0,45.0,"",19.5,中国,8.6,2858.0,278,3,true,false,true,true,true
松下,F-VXJ05C,32,false,4.8,7.5,"",17.4,中国,1.9,1199.0,"","",false,"",false,false,false
松下,F-VXJ90C,479,false,5.5,70.0,"",18.9,中国,11.5,4266.8,"",3,true,false,true,true,true
格力,KJFA330A,"","","",50.0,"","",中国,9.5,1980.0,"",3,false,true,true,true,true
格力,KJFB200B,"","","",55.0,"","",中国,10.5,"","",3,true,true,true,"",true
格力,KJG155A,"","","","",48.0,26.0,中国,10.0,2188.0,"","",true,true,true,true,true
格力,KJG300A,"","","",95.0,26.0,48.0,"",10.0,2099.0,151,3,true,true,false,true,true
格力,KJLG200,"","","",45.0,"","","",4.7,499.0,"",3,false,false,false,false,false
汇清,HQ-GJ01,201,false,"",70.0,30.0,52.0,中国,8.1,7980.0,"","",true,true,false,false,false
汇清,HQ-GJ02,126,false,"",45.0,30.0,52.0,中国,5.75,3980.0,"",3,true,true,false,false,false
海尔,KJ-F200/CA,200,false,"",55.0,28.0,58.0,中国,7.2,"","",3,true,true,true,true,true
海尔,KJ-F480/DA,480,false,"",63.0,34.0,64.9,"",12.5,"","","","",true,"",true,true
爱普乐,AP 010,11,false,"","","","",中国,0.6,"","",2,"","","","",""
爱普乐,AP 045,45,false,"","","","",中国,1.6,"","",2,"","","","",""
爱普乐,AP 200,200,false,"","","","",中国,6.4,"","",3,"","","","",""
爱普乐,AP 420,420,false,"","","","",中国,11.5,"","",5,"","","","",""
爱普乐,AP 420A,420,false,"","","","",中国,11.5,"","",5,"","","","",""
爱普乐,AP 450,450,false,"","","","",中国,11.5,"","",5,"","","","",""
爱普乐,AP 450A,450,false,"","","","",中国,11.5,"","",5,"","","","",""
瑞士风,1355N,"","","",20.0,"","",捷克,5.9,495.0,"",3,true,false,false,false,false
瑞士风,2055D,"","","",24.0,"","",捷克,5.9,4799.0,"",3,true,false,false,true,false
瑞士风,2061,"","",20.0,23.0,26.0,35.0,捷克,7.7,4500.0,220,3,true,false,true,false,false
瑞士风,2071,"","",20.0,20.0,30.0,36.0,捷克,9.3,4544.0,190,3,"","",true,"",""
瑞士风,2255,"","","",20.0,"","","",6.5,"","","","","","","",""
瑞士风,P320,103,false,"",52.0,40.85,43.11,台湾,3.7,799.0,"",3,true,true,true,false,true
瑞士风,P325,120,false,"",24.0,"",25.0,中国,4.0,495.0,"",3,true,false,true,true,false
瑞士风,P350,203,false,"",60.8,41.62,43.7,台湾,5.0,1595.0,"",3,true,true,true,false,true
瑞士风,P355,275,false,"",57.0,"",25.0,中国,5.4,495.0,"",3,true,false,true,true,true
瑞士风,P380,306,false,"",86.0,44.36,46.96,台湾,7.7,488.0,"",3,true,true,true,false,true
瑞士风,W2255,"","","",20.0,"","",捷克,6.5,899.0,"",3,true,false,false,false,false
瑞士风,W490,"","","",18.0,"","",捷克,6.0,3298.0,"","",true,false,true,false,false
瑞士风,W520,"","","",22.0,"","","",6.5,3999.0,"",3,true,false,true,false,false
美的,KJ15F-NU,"","","",43.0,"","","",3.9,819.0,"",4,true,false,false,true,true
美的,KJ15FE-NU,"","","",43.0,"",55.0,"",3.9,788.0,150,"",false,false,true,false,true
美的,KJ20FE-NH,130,false,"",37.0,23.0,55.0,中国,4.5,678.0,150,4,true,false,true,true,true
美的,KJ20FE-NY,"","","",65.0,"","","",4.5,598.0,200,3,false,false,true,false,true
美的,KJ30F-NA,"","","","","",35.0,"",9.0,1680.0,"",3,"","","","",""
美的,KJ30FE-NA,"","","",65.0,"","","",10.7,1815.0,"",4,false,false,true,false,true
美的,KJ30FE-NV,290,false,"",57.0,35.0,60.0,中国,6.5,"",310,4,true,false,true,true,true
美的,KJ35FR-NA,"","","",68.0,"","","",8.0,"",240,4,"","","","",""
美的,KJ40FE-NI,"","","",45.0,"",60.0,"",10.0,"",400,"","","","","",""
美的,KJG230S,"","","",32.0,"","","","",899.0,"",3,false,false,true,false,true
美的,PARALDA,"","","",50.0,"","","",6.8,4980.0,"","",false,true,true,false,false
美菱,ML-KJ512,"","","",58.0,"","",中国,10.0,1897.3,0,"",true,"",true,true,true
艾美特,AC16,220,false,"",50.0,"",51.0,中国,4.2,569.0,"",5,false,true,true,true,false
艾美特,AC17,"","","",50.0,"",52.0,中国,4.5,698.0,"",4,false,true,true,true,false
艾美特,AC19,103,false,"",45.0,"",61.0,中国,2.15,499.0,"",3,false,false,true,false,false
艾美特,AC23,355,false,"",75.0,"",61.0,中国,11.5,2588.0,"",4,"",false,true,true,""
艾美特,AC24,274,false,"",65.0,"",60.0,中国,7.17,1999.0,"",4,true,false,true,true,true
艾美特,AC27,191,false,"",50.0,"",54.0,中国,3.8,999.0,5,4,false,false,true,true,false
艾美特,AC28,255,false,"",60.0,"",56.0,中国,7.05,1299.0,"",4,false,true,true,false,false
艾美特,AC34,195,false,"","","","","","","","",4,"","",true,true,""
艾美特,AC45,195,false,"","","","","","","","",4,"",true,true,"",""
艾美特,AC46,220,false,"",50.0,"","",中国,4.5,"","",4,true,"",true,true,true
范罗士,AERAMAX DX5,65,true,49.0,"","",47.0,"",4.55,"","","","","","","",""
莱克,KJ101,"","","","","","","",0.9,"","",2,"","","","",""
莱克,KJ302,209,false,"",35.0,"","",中国,5.3,"","",6,true,"",true,true,true
莱克,KJ501,179,false,"",40.0,"","",中国,8.3,"","",6,true,"",true,true,true
莱克,KJ502,190,false,"",40.0,"","",中国,7.5,"",200,6,true,"",true,true,true
莱克,KJ601,407,false,"","","","","","","","",3,"","",true,true,""
莱克,KJ701-1,289,false,"",40.0,"","",中国,8.0,"","",6,true,false,true,true,true
莱克,KJ701-3,289,false,"",40.0,"","",中国,8.1,"","",6,true,true,true,true,true
莱克,KJ702,316,false,"","","","","","","","","","","",true,"",""
西屋,AP-612,"","","",38.0,"","",中国,3.5,598.0,120,3,false,false,false,false,false
西屋,AP-623,"","","","","","","",5.2,898.0,"","",false,false,false,false,false
西屋,AP-626,"","","",40.0,"","",中国,4.3,898.0,"",4,true,true,true,"",true
西屋,AP-735,"","","",55.0,"","",中国,6.5,1580.0,"",4,true,true,true,"",true
西屋,AP-739,400,false,"",50.0,"",25.0,中国,6.5,1998.0,"",3,true,false,true,"",true
西屋,AP-845,450,false,"",100.0,"","",中国,10.0,1768.0,450,3,true,true,true,true,false
西屋,ZP-9880G,800,false,7.0,55.0,24.0,55.0,中国,10.0,4480.0,"",3,true,true,true,"",true
西屋,ZP-9880W,800,false,7.0,55.0,24.0,55.0,中国,10.0,4180.0,"",3,true,true,true,"",true
贝昂,JF280B,225,false,"","","","","","",3998.0,"","",true,false,true,false,false
贝昂,KJF280B,225,false,"",32.0,"","",中国,9.5,"",225,3,true,"",false,true,false
贝昂,KJF280C,225,false,"",32.0,"","",中国,9.5,"",225,3,true,true,false,true,false
远大,TA100,100,false,7.0,15.0,"",39.0,中国,4.0,2480.0,100,3,false,false,true,false,false
远大,TA1000,1000,false,20.0,60.0,"",50.0,中国,21.0,6699.0,1000,3,false,false,true,false,false
远大,TA2000,"","",30.0,110.0,"",53.0,"",50.0,12600.0,2000,3,false,false,false,false,false
远大,TA240,240,false,10.0,30.0,"","",中国,7.0,4066.0,240,3,false,false,true,false,false
远大,TA400,400,false,15.0,30.0,"",45.0,中国,9.0,4999.0,400,3,false,false,true,false,false
远大,TB100,100,false,5.0,15.0,"",39.0,中国,3.7,2949.0,100,3,false,false,true,false,false
远大,TB240,240,false,10.0,20.0,"",41.0,中国,6.0,4050.0,240,3,false,false,true,false,false
远大,TB400,400,false,15.0,15.0,"",45.0,中国,8.0,4836.8,400,3,false,false,true,false,false
远大,TB800,800,false,15.0,20.0,"",48.0,"",17.5,6680.0,800,3,false,false,true,false,false
远大,TD50,"","",4.0,9.0,"","","",1.3,798.0,50,3,false,false,false,false,false
霍尼韦尔,18000,"","","",80.0,20.0,50.0,墨西哥,5.32,3299.0,"",3,false,false,false,false,true
霍尼韦尔,18250,"","","",95.0,20.0,50.0,墨西哥,7.2,5752.0,"",3,false,false,false,false,true
霍尼韦尔,18400,"","","",95.0,20.0,50.0,墨西哥,7.48,5152.0,"",3,false,false,false,false,true
霍尼韦尔,18450,"","","",95.0,20.0,50.0,墨西哥,7.48,7299.0,331,3,false,false,false,false,true
霍尼韦尔,5010,"","","",90.0,40.0,50.0,"",3.97,967.0,"",3,false,false,false,false,false
霍尼韦尔,HFD-122,100,true,"",40.0,20.0,30.0,"",5.6,1398.0,318,3,false,false,false,false,false
霍尼韦尔,HHT-011,55,true,"",35.0,"","",中国,2.44,1180.0,"",3,false,false,false,false,true
霍尼韦尔,HPA-102,"","","",54.0,57.0,47.0,中国,3.51,1380.0,"",3,true,false,true,false,true
飞利浦,AC4001,176,false,"",46.0,"","",中国,3.94,988.0,150,3,false,false,true,false,true
飞利浦,AC4002,155,false,"",40.0,25.0,42.0,"",5.31,2699.0,"",2,true,false,true,true,true
飞利浦,AC4004,155,false,"",40.0,25.0,42.0,"",5.31,3199.0,"","",true,false,false,true,true
飞利浦,AC4005,311,false,"",30.0,"","",中国,5.84,1424.1,"",3,false,false,true,true,true
飞利浦,AC4006,150,false,"",40.0,36.0,53.0,中国,5.31,2796.0,150,4,true,false,true,true,true
飞利浦,AC4012,128,false,"",30.0,34.0,54.0,中国,5.35,1248.0,128,3,true,false,true,true,true
飞利浦,AC4014,237,false,"",30.0,35.0,61.0,中国,6.1,1868.0,237,3,false,false,true,true,true
飞利浦,AC4016,224,false,"",30.0,31.0,62.0,中国,9.92,1999.0,224,3,false,false,true,true,true
飞利浦,AC4025,127,false,"",30.0,36.0,54.0,中国,4.5,668.0,150,3,true,false,true,false,true
飞利浦,AC4026,127,false,"",30.0,39.0,54.0,中国,4.8,978.0,150,3,true,false,true,true,true
飞利浦,AC4052,"","","",34.0,"",49.0,"",5.0,1099.0,"","",false,false,false,true,false
飞利浦,AC4054,"","",34.0,36.0,"","","",5.0,1999.0,"","",false,false,true,true,false
飞利浦,AC4064,"","","",61.0,"","","",7.9,1999.0,"","",false,false,false,true,false
飞利浦,AC4072,320,false,"",47.0,20.0,50.0,韩国,7.2,2796.0,150,5,true,false,false,true,true
飞利浦,AC4074,320,false,"",47.0,20.0,50.0,韩国,7.2,2599.0,250,5,true,false,true,true,true
飞利浦,AC4076,250,false,"",47.0,31.5,61.5,韩国,7.4,3118.0,50,5,true,false,false,true,true
飞利浦,AC4080,167,false,"",60.0,"",36.0,中国,10.2,1868.0,"",3,false,"",true,true,true
飞利浦,AC4081,223,false,"",68.0,"",36.0,中国,8.3,"",150,"",true,"",true,true,true
飞利浦,AC4083,"","","",30.0,22.0,47.0,"",10.6,4999.0,"",3,true,true,false,true,true
飞利浦,AC4084,210,false,"",20.0,34.0,50.0,中国,10.0,2888.0,300,3,false,false,true,true,true
飞利浦,AC4085,240,false,"",30.0,33.0,54.0,中国,10.0,2499.0,240,3,false,false,true,true,true
飞利浦,AC4086,270,false,"",50.0,34.0,59.0,中国,12.4,3888.0,"",4,false,false,true,true,true
飞利浦,AC4090,360,false,"",50.0,35.0,57.0,韩国,14.0,4999.0,"",4,false,true,true,true,true
飞利浦,AC4091,340,false,"",51.0,37.0,58.0,韩国,12.0,4499.0,340,4,true,false,true,true,true
飞利浦,AC4092,"","","",70.0,"","",韩国,11.0,"","","","","","","",""
飞利浦,AC4096,"","","",80.0,"","",韩国,12.0,"","","","","","","",""
飞利浦,AC4372,341,false,"",48.0,"",38.0,韩国,10.14,3398.0,150,6,false,false,true,true,true
飞利浦,AC4374,345,false,"",52.0,"",35.0,韩国,7.45,"",400,"",true,"",true,true,true
飞利浦,ACA201,"","","",8.0,"","","",0.7,1999.0,"","",false,false,false,false,false
飞利浦,ACA301,15,false,"",8.0,"",40.0,中国,0.77,1325.0,"",3,false,false,false,true,true
飞利浦,ACP007,165,false,"",40.0,"","",中国,6.9,3676.4,"","",true,"",true,"",true
飞利浦,ACP017,274,false,"",30.0,"","",中国,8.3,"","","","","","","",""
飞利浦,ACP027,153,false,"",30.0,39.0,54.0,中国,6.0,"","","","","","","",""
飞利浦,ACP073,309,false,"",47.0,"","",韩国,9.2,2799.0,150,"",true,"",false,true,true
飞利浦,ACP077,302,false,"",47.0,"","",韩国,10.3,"","","",true,"",true,true,true
飞利浦,ACP087,292,false,"",50.0,"","",中国,12.8,"",0,"",true,"",true,false,true
飞利浦,ACP097,"","","",80.0,"","",韩国,12.0,"","","","","","","",""
飞利浦,CP100,"","","",3.0,"","","",0.616,749.0,"",2,false,false,false,false,true
龙禹,FKJ1000,1000,false,"","","","","",35.0,"","","","","","","",""
