品牌,型号,CADR 灰尘(m3/h),AHAM认证,最小功率(W),最大功率(W),最小噪音(dB),最大噪音(dB),产地,重量(kg),最大风量,风档,睡眠模式,支持遥控,支持定时,空气质量显示,滤网更新提醒
惠而浦,WA-4001FK,200,false,"","","","","",6.0,"",3,"","","","",""
松下,F-DSB50C,"","","","",15.0,46.0,"",4.8,5,"","","","","",""
松下,F-PDA16C,"","","",70.0,48.0,28.0,"",5.7,"","","","","","",""
松下,F-PDC30C,"","","","","","","",4.8,40,"","","","","",""
松下,F-PJD35C,"","","",32.0,"","","",6.3,"","","","","","",""
松下,F-PMC30C,"","","",70.0,"","","","","","","","","","",""
松下,F-PXA28C,"","","",30.0,"","","",8.0,"","","","","","",""
松下,F-PXC35C,"","","","",44.0,32.0,中国,4.7,"",3,true,false,true,true,true
格力,DH20E,"","","","",51.0,49.0,"",14.0,"","","","","","",""
海尔,HR-AC08D,"","","",80.0,"","",中国,8.7,400,"",true,"",true,true,true
海尔,HR-AC09E,"","","",45.0,"","",中国,6.8,200,"",true,"",true,false,true
海尔,HR-AC11G,"","","",4.0,"","",中国,1.0,"","",true,"",false,false,false
海尔,海尔KJ-F200/CA,"","","",55.0,28.0,58.0,"",7.2,"",4,"","","","",""
瑞士风,2541,"","","","","","",韩国,"","","","","","","",""
瑞士风,2562,"","","","","","",德国,"","","","","","","",""
瑞士风,7018,"","","","","","",瑞士,"","","","","","","",""
瑞士风,7531,"","","","","","",韩国,"","","","","","","",""
瑞士风,A321,"","","","","","",台湾,"","","","","","","",""
瑞士风,A323,"","","","","","",台湾,"","","","","","","",""
瑞士风,A351,"","","","","","",台湾,0.6,"","","","","","",""
瑞士风,A352,"","","","","","",台湾,"","","","","","","",""
瑞士风,A353,"","","","","","",台湾,"","","","","","","",""
瑞士风,A381,"","","","","","",台湾,"","","","","","","",""
瑞士风,A382,"","","","","","",台湾,"","","","","","","",""
瑞士风,A383,"","","","","","",台湾,"","","","","","","",""
瑞士风,A7017,"","","","","","",瑞士,"","","","","","","",""
瑞士风,A7533,"","","","","","",韩国,0.5,"","","","","","",""
瑞士风,AOSP3,"","","",60.8,41.62,25.0,"",5.0,"","","","","","",""
瑞士风,W2055,"","","",24.0,"",25.0,捷克,5.9,"","","","","","",""
纽贝尔,NBE-1001,"","","",50.0,"","",中国,7.0,300,"",true,"",true,true,true
纽贝尔,NBE-1001-1,"","","",50.0,"","",中国,7.0,300,"",true,"",true,true,true
纽贝尔,NBE-1201,"","","",50.0,"","",中国,9.0,300,"",true,"",true,true,true
纽贝尔,NBE-1203,"","","",50.0,"","",中国,7.0,300,"",true,"",true,true,true
纽贝尔,NBE-1203-1,"","","",55.0,"","",中国,7.0,"","",true,"",true,true,true
纽贝尔,NBE-1988,"","","",30.0,"","",中国,10.0,400,"",true,"",false,true,true
纽贝尔,NBE-1988-1,"","","",30.0,"","",中国,10.0,400,"",true,"",false,true,true
纽贝尔,NBE-1988-2,"","","",30.0,"","",中国,10.0,400,"",true,"",true,true,true
纽贝尔,NBE-400,"","","",30.0,"","",中国,0.5,"","",false,"",false,false,false
绿歌,LG0006,"","","",15.0,"","",中国,1.5,300,"",true,"",true,true,true
绿歌,LG002,"","","",15.0,"","",中国,1.5,200,"",true,"",true,true,true
绿歌,LG003,"","","",15.0,"","",中国,1.5,200,"",true,"",true,false,true
绿歌,LG004,"","","",15.0,"","",中国,1.5,200,"",true,"",true,true,true
绿歌,LG005,"","","",15.0,"","",中国,1.5,300,"",true,"",true,true,true
绿歌,LG007,"","","",15.0,"","",中国,1.5,300,"",true,"",true,true,true
绿歌,LG008,"","","",15.0,"","",中国,1.5,300,"",true,"",true,true,true
绿歌,LG009,"","","",15.0,"","",中国,1.5,300,"",true,"",true,true,true
绿歌,LG010,"","","",15.0,"","",中国,1.5,300,"",true,"",true,true,true
绿歌,LG011,"","","",15.0,"","",中国,1.5,300,"",true,"",true,true,true
绿歌,LG012,"","","",15.0,"","",中国,1.5,300,"",true,"",true,true,true
绿歌,LG013,"","","",15.0,"","",中国,1.5,300,"",true,"",true,true,true
绿歌,LG014,"","","",15.0,"","",中国,1.5,300,"",true,"",true,true,true
绿歌,LG015,"","","",15.0,"","",中国,1.5,300,"",true,"",true,true,true
绿歌,LG016,"","","",15.0,"","",中国,1.5,300,"",true,"",true,false,true
绿歌,LG017,"","","",15.0,"","",中国,1.5,"","",true,"",true,true,true
绿歌,LG018,"","","",15.0,"","",中国,1.5,300,"",true,"",true,true,true
美的,KJ10CE-NA,"","","",200.0,"",52.0,"",2.6,"","","","","","",""
美的,KJ10F-NM,"","","",45.0,"",61.0,"",3.7,"",3,"","","","",""
美的,KJ15F-NT,"","","",43.0,"",60.0,"",6.1,"",3,"","","","",""
美的,KJ15FE-NT,"","","","","","","",3.26,"",4,"","","","",""
美的,KJ20F-NB,"","","","","","","","","",4,"","","","",""
美的,KJ20FE-E,"","","","","","","",2.31,"","","","","","",""
美的,KJ20FE-NB,"","","",90.0,"","","",7.0,200,4,"","","","",""
美的,KJ30FE-NC,"","","",72.0,"","","","","",5,"","","","",""
美的,KJ30FR-NH,"","","",100.0,"",35.0,"","","",4,"","","","",""
美的,KJ40FR-NG,"","","",100.0,"","","",17.6,380,3,"","","","",""
美的,美的KJ2IE-B 汽车博士,"","","",14.0,"","","","","","","","","","",""
美的,美的KJF30FE-NA1,"","","","","","","","","",4,"","","","",""
艾美特,AC20,"","","",45.0,"",61.0,中国,2.8,"",4,"","","","",false
艾美特,AC36,195,false,"",50.0,"",60.0,中国,5.3,"",4,"","","",true,true
艾美特,AC46,"","","",50.0,"","",中国,7.0,"","",true,"",true,true,true
范罗士,AERAMAX DX55,129,true,"","","","","",4.61,"","","","","","",""
范罗士,DX95,"","","","","","","",6.39,"","","","","","",""
范罗士,范罗士 FELLOWES AERAMAX DX95,"","",6.0,"","","","","","","","","","","",""
莱克,KJ301,"","","",40.0,"","",中国,4.24,"",3,true,"",true,"",true
莱克,KJ302,"","","",35.0,"","",中国,5.3,"",3,true,"",true,true,true
莱克,KJ501,"","","",40.0,"","",中国,8.3,"",3,true,"",true,true,true
莱克,KJ502,"","","",40.0,"","",中国,7.5,"",3,true,"",true,true,true
