image,brand,website,model,room_size,dust_cadr,pollen_cadr,tobacco_smoke_cadr,energy_star,meets_ozone_limits,voltage_frequency,dimensions,weight
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,18155,197 sq feet,132,135,127,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,50150,235 sq feet,150,150,150,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,50250,390 sq feet,250,250,250,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,16200C,80 sq feet,44,58,53,No,Yes,115 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,17000-N,200 sq feet,130,130,130,No,Yes,115 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,17000-S,200 sq feet,130,130,130,No,Yes,115 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,17000-TGT,200 sq feet,130,130,130,No,Yes,115 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,17005-N,200 sq feet,130,130,130,No,Yes,115 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,17007-HD,200 sq feet,130,130,130,No,Yes,115 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,50100-N,150 sq feet,100,100,100,No,Yes,115 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,50150-N,235 sq feet,150,150,150,No,Yes,115 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,50250-N,390 sq feet,250,250,250,No,Yes,115 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,50250-S,390 sq feet,250,250,250,No,Yes,115 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,50255-HD,390 sq feet,250,250,250,No,Yes,115 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD-010,62 sq feet,35,55,40,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD-010C,62 sq feet,35,55,40,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD-015C,62 sq feet,35,55,40,No,Yes,115 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD-110,124 sq feet,69,88,80,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD-110C,124 sq feet,69,88,80,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD-112,124 sq feet,69,88,80,No,Yes,115 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD-116C,124 sq feet,69,88,80,Yes,Yes,115 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD-120-Q,170 sq feet,100,132,110,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD-120QC,170 sq feet,100,132,110,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD-122C,170 sq feet,100,132,110,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD-122-TGT,170 sq feet,100,132,110,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD-123-HD,170 sq feet,100,132,110,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD-130,169 sq feet,100,130,110,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD-130C,169 sq feet,100,130,110,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT-011,85 sq feet,55,65,55,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT-011C,85 sq feet,55,65,55,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT-013,85 sq feet,55,65,55,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT-013-HD,85 sq feet,55,65,55,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT-016-MP,85 sq feet,55,65,55,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT-055,79 sq feet,79,76,51,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT-057C,70 sq feet,55  + WAS: 67,57  + WAS: 64,45,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT-080,170 sq feet,90,90,110,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT-080C,170 sq feet,90,90,110,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT-081,170 sq feet,90,90,110,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT-081C,170 sq feet,90,90,110,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT-082-TGT,170 sq feet,90,90,110,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT-085-HD,170 sq feet,90,90,110,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT-090,170 sq feet,90,90,110,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT-090C,170 sq feet,90,90,110,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT-145,185 sq feet,120,130,120,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT-145-TGT,185 sq feet,120,130,120,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT-149,185 sq feet,120,130,120,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT-149C-CST,185 sq feet,120,130,120,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT-149-HD,185 sq feet,120,130,120,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT-155,182 sq feet,146,148,118,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT-155-SMS,182 sq feet,146,148,118,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT-157C,185 sq feet,139,151,120,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA-050,75 sq feet,66,68,48,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA-050-TGT,75 sq feet,66,68,48,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA-051C,70 sq feet,60  # WAS: 64,57,45,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA-150,177 sq feet,125,130,110,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA-150-TGT,177 sq feet,125,130,110,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA-151C,152 sq feet + WAS: 185,117  + WAS: 134,151,98  + WAS: 120,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HTT-022,99 sq feet,54,62,63,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD323-TGT,250 sq feet,160,170,161,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD320,250 sq feet,160,170,161,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD320C,250 sq feet,160,170,161,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA-245,170 sq feet,120,130,110,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA-248-TGT,170 sq feet,120,130,110,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA-249,170 sq feet,120,130,110,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD300,225 sq feet,150,160,146,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD303C,225 sq feet,150,160,146,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD310,250 sq feet,160,170,161,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD310C,250 sq feet,160,170,161,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD322C,250 sq feet,160,170,161,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA200,310 sq feet,190,180,200,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA204,310 sq feet,190,180,200,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA201-TGT,310 sq feet,190,180,200,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA060,75 sq feet,62,75,48,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA061-TGT,75 sq feet,62,75,48,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA160,170 sq feet,120,130,110,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA161-TGT,170 sq feet,120,130,110,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA100,155 sq feet,106,100,100,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA104,155 sq feet,106,100,100,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA101-TGT,155 sq feet,106,100,100,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA105-TGT,155 sq feet,106,100,100,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA300,465 sq feet,320,300,300,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA300C,465 sq feet,320,300,300,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA104C,155 sq feet,106,100,100,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA094,155 sq feet,106,100,100,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA100C,155 sq feet,106,100,100,Yes,Yes,120 V 60 Hz,"",""
